Question,True Answer,answers,MCQs,3_MC,2_MC
突触前抑制的发生是由于?,突触前膜兴奋性递质释放量减少,"['突触前膜释放抑制性递质', '突触后膜超极化', '中间抑制性神经元兴奋的结果']",请选择一个正确选项。突触前抑制的发生是由于?：A 突触前膜兴奋性递质释放量减少 ，B 突触前膜释放抑制性递质 ，C 突触后膜超极化，D 中间抑制性神经元兴奋的结果。只能选择一个选项，禁止解释。,请选择一个正确选项。突触前抑制的发生是由于?：A 突触前膜释放抑制性递质 ，B  突触后膜超极化 ，C 突触前膜兴奋性递质释放量减少。只能选择一个选项，禁止解释。,请选择一个正确选项。突触前抑制的发生是由于?：A 突触前膜释放抑制性递质 ，B 突触前膜兴奋性递质释放量减少。只能选择一个选项，禁止解释。
以下哪种感觉不经过特异性投射系统传入?,嗅觉,"['视觉', '听觉', '味觉']",请选择一个正确选项。以下哪种感觉不经过特异性投射系统传入?：A 视觉 ，B 听觉 ，C 嗅觉，D 味觉。只能选择一个选项，禁止解释。,请选择一个正确选项。以下哪种感觉不经过特异性投射系统传入?：A 视觉 ，B  听觉 ，C 嗅觉。只能选择一个选项，禁止解释。,请选择一个正确选项。以下哪种感觉不经过特异性投射系统传入?：A 视觉 ，B 嗅觉。只能选择一个选项，禁止解释。
"关于感觉皮层代表区的叙述,下列哪一项是错误的?",内脏感觉的投射区在额叶,"['体表感觉区在中央后回', '本体感觉区在中央前回', '视觉代表区在枕叶']","请选择一个正确选项。关于感觉皮层代表区的叙述,下列哪一项是错误的?：A 体表感觉区在中央后回 ，B 本体感觉区在中央前回 ，C 视觉代表区在枕叶，D 内脏感觉的投射区在额叶。只能选择一个选项，禁止解释。","请选择一个正确选项。关于感觉皮层代表区的叙述,下列哪一项是错误的?：A 体表感觉区在中央后回 ，B  本体感觉区在中央前回 ，C 内脏感觉的投射区在额叶。只能选择一个选项，禁止解释。","请选择一个正确选项。关于感觉皮层代表区的叙述,下列哪一项是错误的?：A 体表感觉区在中央后回 ，B 内脏感觉的投射区在额叶。只能选择一个选项，禁止解释。"
"关于非特异性投射系统的叙述,下列哪一项是正确的?",维持大脑清醒状态,"['由丘脑向大脑皮层投射具有点对点的投射关系', '此起特定感觉', '是所有感觉的上行传导道']","请选择一个正确选项。关于非特异性投射系统的叙述,下列哪一项是正确的?：A 由丘脑向大脑皮层投射具有点对点的投射关系 ，B 此起特定感觉 ，C 维持大脑清醒状态，D 是所有感觉的上行传导道。只能选择一个选项，禁止解释。","请选择一个正确选项。关于非特异性投射系统的叙述,下列哪一项是正确的?：A 由丘脑向大脑皮层投射具有点对点的投射关系 ，B  此起特定感觉 ，C 维持大脑清醒状态。只能选择一个选项，禁止解释。","请选择一个正确选项。关于非特异性投射系统的叙述,下列哪一项是正确的?：A 由丘脑向大脑皮层投射具有点对点的投射关系 ，B 维持大脑清醒状态。只能选择一个选项，禁止解释。"
特异性投射系统的主要功能是?,引起指定感觉并激发大脑皮层发出神经冲动,"['维持大脑皮层的兴奋状态', '调节内脏功能', '维持觉醒']",请选择一个正确选项。特异性投射系统的主要功能是?：A 引起指定感觉并激发大脑皮层发出神经冲动 ，B 维持大脑皮层的兴奋状态 ，C 调节内脏功能，D 维持觉醒。只能选择一个选项，禁止解释。,请选择一个正确选项。特异性投射系统的主要功能是?：A 维持大脑皮层的兴奋状态 ，B  调节内脏功能 ，C 引起指定感觉并激发大脑皮层发出神经冲动。只能选择一个选项，禁止解释。,请选择一个正确选项。特异性投射系统的主要功能是?：A 维持大脑皮层的兴奋状态 ，B 引起指定感觉并激发大脑皮层发出神经冲动。只能选择一个选项，禁止解释。
牙总数为20个的是?,乳牙,"['上颌磨牙', '下颌磨牙', '第3磨牙']",请选择一个正确选项。牙总数为20个的是?：A 乳牙 ，B 上颌磨牙 ，C 下颌磨牙，D 第3磨牙。只能选择一个选项，禁止解释。,请选择一个正确选项。牙总数为20个的是?：A 上颌磨牙 ，B  下颌磨牙 ，C 乳牙。只能选择一个选项，禁止解释。,请选择一个正确选项。牙总数为20个的是?：A 上颌磨牙 ，B 乳牙。只能选择一个选项，禁止解释。
有3个牙根的是?,上颌磨牙,"['乳牙', '下颌磨牙', '第3磨牙']",请选择一个正确选项。有3个牙根的是?：A 乳牙 ，B 上颌磨牙 ，C 下颌磨牙，D 第3磨牙。只能选择一个选项，禁止解释。,请选择一个正确选项。有3个牙根的是?：A 乳牙 ，B  下颌磨牙 ，C 上颌磨牙。只能选择一个选项，禁止解释。,请选择一个正确选项。有3个牙根的是?：A 乳牙 ，B 上颌磨牙。只能选择一个选项，禁止解释。
只有1个牙根的是?,尖牙,"['乳牙', '上颌磨牙', '下颌磨牙']",请选择一个正确选项。只有1个牙根的是?：A 乳牙 ，B 上颌磨牙 ，C 下颌磨牙，D 尖牙。只能选择一个选项，禁止解释。,请选择一个正确选项。只有1个牙根的是?：A 乳牙 ，B  上颌磨牙 ，C 尖牙。只能选择一个选项，禁止解释。,请选择一个正确选项。只有1个牙根的是?：A 乳牙 ，B 尖牙。只能选择一个选项，禁止解释。
有2个牙根的是?,下颌磨牙,"['乳牙', '上颌磨牙', '第3磨牙']",请选择一个正确选项。有2个牙根的是?：A 乳牙 ，B 上颌磨牙 ，C 下颌磨牙，D 第3磨牙。只能选择一个选项，禁止解释。,请选择一个正确选项。有2个牙根的是?：A 乳牙 ，B  上颌磨牙 ，C 下颌磨牙。只能选择一个选项，禁止解释。,请选择一个正确选项。有2个牙根的是?：A 乳牙 ，B 下颌磨牙。只能选择一个选项，禁止解释。
萌出最迟的是?,第3磨牙,"['乳牙', '上颌磨牙', '下颌磨牙']",请选择一个正确选项。萌出最迟的是?：A 乳牙 ，B 上颌磨牙 ，C 下颌磨牙，D 第3磨牙。只能选择一个选项，禁止解释。,请选择一个正确选项。萌出最迟的是?：A 乳牙 ，B  上颌磨牙 ，C 第3磨牙。只能选择一个选项，禁止解释。,请选择一个正确选项。萌出最迟的是?：A 乳牙 ，B 第3磨牙。只能选择一个选项，禁止解释。
自由王国是指人们？,摆脱了自然和社会关系的奴役，成为自己社会关系主人的状态,"['处于绝对自由的原始社会状态', '不再受自然规律和社会规律支配的状态', '允许自由竞争的资本主义状态']",请选择一个正确选项。自由王国是指人们？：A 处于绝对自由的原始社会状态 ，B 不再受自然规律和社会规律支配的状态 ，C 允许自由竞争的资本主义状态，D 摆脱了自然和社会关系的奴役，成为自己社会关系主人的状态。只能选择一个选项，禁止解释。,请选择一个正确选项。自由王国是指人们？：A 处于绝对自由的原始社会状态 ，B  不再受自然规律和社会规律支配的状态 ，C 摆脱了自然和社会关系的奴役，成为自己社会关系主人的状态。只能选择一个选项，禁止解释。,请选择一个正确选项。自由王国是指人们？：A 处于绝对自由的原始社会状态 ，B 摆脱了自然和社会关系的奴役，成为自己社会关系主人的状态。只能选择一个选项，禁止解释。
科学社会主义的直接理论来源是？,19世纪初欧洲空想社会主义理论,"['16世纪欧洲空想社会主义思潮', '18世纪法国唯物主义和无神论', '18－19世纪德国古典哲学']",请选择一个正确选项。科学社会主义的直接理论来源是？：A 16世纪欧洲空想社会主义思潮 ，B 19世纪初欧洲空想社会主义理论 ，C 18世纪法国唯物主义和无神论，D 18－19世纪德国古典哲学。只能选择一个选项，禁止解释。,请选择一个正确选项。科学社会主义的直接理论来源是？：A 16世纪欧洲空想社会主义思潮 ，B  18世纪法国唯物主义和无神论 ，C 19世纪初欧洲空想社会主义理论。只能选择一个选项，禁止解释。,请选择一个正确选项。科学社会主义的直接理论来源是？：A 16世纪欧洲空想社会主义思潮 ，B 19世纪初欧洲空想社会主义理论。只能选择一个选项，禁止解释。
马克思主义的革命性表现在？,彻底的批判主义和鲜明的政治立场,"['崇高的社会理想和坚实的实践基础', '丰富的理论来源和科学的理论内涵', '完备的理论体系和严密的逻辑结构']",请选择一个正确选项。马克思主义的革命性表现在？：A 崇高的社会理想和坚实的实践基础 ，B 彻底的批判主义和鲜明的政治立场 ，C 丰富的理论来源和科学的理论内涵，D 完备的理论体系和严密的逻辑结构。只能选择一个选项，禁止解释。,请选择一个正确选项。马克思主义的革命性表现在？：A 崇高的社会理想和坚实的实践基础 ，B  丰富的理论来源和科学的理论内涵 ，C 彻底的批判主义和鲜明的政治立场。只能选择一个选项，禁止解释。,请选择一个正确选项。马克思主义的革命性表现在？：A 崇高的社会理想和坚实的实践基础 ，B 彻底的批判主义和鲜明的政治立场。只能选择一个选项，禁止解释。
对一个其体事物展开认识的完整过程？,感性认识、理性认识、实践,"['实践、理性、感性', '感性、实践、理性', '实践、感性、理性']",请选择一个正确选项。对一个其体事物展开认识的完整过程？：A 感性认识、理性认识、实践 ，B 实践、理性、感性 ，C 感性、实践、理性，D 实践、感性、理性。只能选择一个选项，禁止解释。,请选择一个正确选项。对一个其体事物展开认识的完整过程？：A 实践、理性、感性 ，B  感性、实践、理性 ，C 感性认识、理性认识、实践。只能选择一个选项，禁止解释。,请选择一个正确选项。对一个其体事物展开认识的完整过程？：A 实践、理性、感性 ，B 感性认识、理性认识、实践。只能选择一个选项，禁止解释。
辩证唯物主义反映论区别于机械唯物主义反映论的根本标志在于，是否承认认识的过程是？,反映和创造的统一,"['反映和摹写的统一', '探索和创造的统一', '探索与发现的统一']",请选择一个正确选项。辩证唯物主义反映论区别于机械唯物主义反映论的根本标志在于，是否承认认识的过程是？：A 反映和创造的统一 ，B 反映和摹写的统一 ，C 探索和创造的统一，D 探索与发现的统一。只能选择一个选项，禁止解释。,请选择一个正确选项。辩证唯物主义反映论区别于机械唯物主义反映论的根本标志在于，是否承认认识的过程是？：A 反映和摹写的统一 ，B  探索和创造的统一 ，C 反映和创造的统一。只能选择一个选项，禁止解释。,请选择一个正确选项。辩证唯物主义反映论区别于机械唯物主义反映论的根本标志在于，是否承认认识的过程是？：A 反映和摹写的统一 ，B 反映和创造的统一。只能选择一个选项，禁止解释。
反复发作的风湿性心瓣膜炎可引起?,心瓣膜增厚变硬,"['心瓣膜穿孔', '心瓣膜坏死', '心瓣膜溃疡']",请选择一个正确选项。反复发作的风湿性心瓣膜炎可引起?：A 心瓣膜增厚变硬 ，B 心瓣膜穿孔 ，C 心瓣膜坏死，D 心瓣膜溃疡。只能选择一个选项，禁止解释。,请选择一个正确选项。反复发作的风湿性心瓣膜炎可引起?：A 心瓣膜穿孔 ，B  心瓣膜坏死 ，C 心瓣膜增厚变硬。只能选择一个选项，禁止解释。,请选择一个正确选项。反复发作的风湿性心瓣膜炎可引起?：A 心瓣膜穿孔 ，B 心瓣膜增厚变硬。只能选择一个选项，禁止解释。
